,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
97040,320005054,kamikami-king,1,1,1,3,3,2,2,2,2,15
97041,320005788,kamikami-king,1,2,1,1,0,2,2,1,1,8
97042,320007118,kamikami-king,1,3,3,3,3,3,2,2,2,18
97043,320008374,kamikami-king,0,4,0,0,0,0,1,1,1,3
97044,320008818,kamikami-king,1,5,3,3,3,3,3,2,2,19
97045,320008972,kamikami-king,1,6,3,3,3,3,3,2,3,20
97046,320023142,kamikami-king,1,7,3,1,3,3,2,2,2,16
97047,320023522,kamikami-king,1,8,3,3,3,3,3,2,3,20
97048,320024365,kamikami-king,1,9,3,3,3,3,3,2,3,20
97049,320078114,kamikami-king,1,10,3,3,3,3,3,2,2,19
97050,320118854,kamikami-king,0,11,1,1,3,2,3,2,3,15
97051,320124751,kamikami-king,1,12,1,3,0,2,2,1,1,10
97052,320129982,kamikami-king,1,13,2,3,1,3,2,1,2,14
97053,320131114,kamikami-king,1,14,3,3,3,3,3,2,3,20
97054,320216628,kamikami-king,1,15,1,1,0,0,1,1,1,5
97055,320216714,kamikami-king,0,16,1,1,0,2,3,2,2,11
97056,320363378,kamikami-king,0,17,1,2,0,0,1,2,1,7
97057,320415873,kamikami-king,0,18,0,0,0,0,1,2,0,3
97058,320421160,kamikami-king,1,19,1,3,2,3,3,1,3,16
97059,320425303,kamikami-king,1,20,1,3,0,3,2,1,1,11
