,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
97580,284901976,kermit_the_frog55,0,1,1,2,0,1,2,2,1,9
97581,286324354,kermit_the_frog55,1,2,1,1,0,1,2,1,1,7
97582,286636198,kermit_the_frog55,0,3,1,1,0,1,2,1,1,7
97583,287240928,kermit_the_frog55,1,4,3,1,1,1,2,2,1,11
97584,288211171,kermit_the_frog55,0,5,3,2,1,1,2,2,2,13
97585,288801778,kermit_the_frog55,1,6,3,2,3,1,3,2,1,15
97586,289647445,kermit_the_frog55,1,7,1,0,1,2,3,2,2,11
97587,290311389,kermit_the_frog55,1,8,1,2,3,1,2,2,1,12
97588,293028202,kermit_the_frog55,1,9,1,3,1,3,2,2,2,14
97589,293714887,kermit_the_frog55,1,10,1,1,2,2,2,2,2,12
97590,294922207,kermit_the_frog55,1,11,1,1,1,1,2,2,2,10
97591,295617836,kermit_the_frog55,1,12,3,3,0,3,3,1,1,14
97592,296474422,kermit_the_frog55,1,13,1,1,3,1,3,2,2,13
97593,297051200,kermit_the_frog55,1,14,1,1,1,2,3,2,2,12
97594,297751330,kermit_the_frog55,1,15,3,1,1,1,3,2,1,12
97595,298103995,kermit_the_frog55,1,16,1,1,0,2,2,2,1,9
97596,299301276,kermit_the_frog55,0,17,1,1,0,1,2,2,1,8
97597,299812415,kermit_the_frog55,0,18,2,1,0,1,2,1,1,8
97598,300170127,kermit_the_frog55,1,19,2,1,1,1,2,1,1,9
97599,301018053,kermit_the_frog55,1,20,0,0,2,0,2,2,1,7
