,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
97620,280811950,ketchupchips2011,0,1,1,0,0,0,1,2,1,5
97621,280815354,ketchupchips2011,0,2,1,0,0,0,1,2,1,5
97622,280819013,ketchupchips2011,1,3,1,1,0,3,2,2,2,11
97623,280824834,ketchupchips2011,0,4,1,1,0,3,2,2,1,10
97624,280895623,ketchupchips2011,0,5,1,0,0,0,1,2,2,6
97625,280906707,ketchupchips2011,0,6,1,1,0,3,2,2,2,11
97626,280914795,ketchupchips2011,1,7,3,3,3,3,3,2,3,20
97627,280917218,ketchupchips2011,1,8,0,0,0,0,0,0,0,0
97628,280920499,ketchupchips2011,0,9,1,2,0,0,1,2,0,6
97629,280940193,ketchupchips2011,0,10,1,1,0,1,2,1,1,7
97630,281016794,ketchupchips2011,1,11,1,1,0,2,2,1,1,8
97631,281031365,ketchupchips2011,1,12,1,1,0,2,2,1,1,8
97632,281032006,ketchupchips2011,1,13,1,2,0,0,1,2,1,7
97633,281236154,ketchupchips2011,1,14,2,3,3,2,3,2,3,18
97634,281797955,ketchupchips2011,1,15,3,3,1,2,3,1,2,15
97635,281804009,ketchupchips2011,0,16,1,3,0,3,1,1,1,10
97636,282100764,ketchupchips2011,0,17,1,1,0,1,2,1,1,7
97637,282103322,ketchupchips2011,1,18,1,1,0,1,2,2,1,8
97638,282112619,ketchupchips2011,0,19,2,3,3,3,2,2,2,17
97639,282272638,ketchupchips2011,1,20,1,1,0,0,2,1,1,6
