,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
98220,291145282,kittyfurz,0,1,1,1,0,1,2,1,1,7
98221,291149803,kittyfurz,0,2,1,1,0,1,2,1,1,7
98222,291156462,kittyfurz,0,3,1,3,0,3,2,2,1,12
98223,291429929,kittyfurz,1,4,1,1,0,2,2,1,1,8
98224,291450761,kittyfurz,1,5,1,1,0,2,2,1,1,8
98225,291462295,kittyfurz,0,6,1,3,0,3,2,2,1,12
98226,291808386,kittyfurz,1,7,1,1,0,2,3,1,1,9
98227,291849520,kittyfurz,0,8,1,3,0,3,2,2,1,12
98228,292505430,kittyfurz,1,9,1,1,0,2,2,1,1,8
98229,293951451,kittyfurz,0,10,1,3,0,3,2,1,1,11
98230,294870236,kittyfurz,0,11,1,1,0,0,2,1,1,6
98231,294946307,kittyfurz,0,12,1,1,0,1,2,1,1,7
98232,296005532,kittyfurz,1,13,1,2,0,0,2,2,1,8
98233,296121750,kittyfurz,0,14,1,2,0,0,2,2,1,8
98234,296135919,kittyfurz,1,15,1,3,3,3,2,2,2,16
98235,296397158,kittyfurz,0,16,0,0,0,0,0,0,0,0
98236,296401549,kittyfurz,0,17,1,3,0,3,2,2,1,12
98237,296477575,kittyfurz,0,18,1,1,0,1,2,1,1,7
98238,296998966,kittyfurz,1,19,1,1,0,0,2,2,1,7
98239,297046476,kittyfurz,0,20,1,3,0,3,2,2,1,12
