,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
98480,296712489,kojiryou,0,1,1,1,0,0,2,1,1,6
98481,296720870,kojiryou,0,2,1,1,0,1,1,1,1,6
98482,296722725,kojiryou,0,3,1,1,0,1,1,1,1,6
98483,296724799,kojiryou,0,4,1,1,0,1,1,1,1,6
98484,296725762,kojiryou,0,5,1,1,0,1,1,1,1,6
98485,296729832,kojiryou,0,6,1,0,0,0,2,2,1,6
98486,296841921,kojiryou,0,7,3,1,1,2,2,2,2,13
98487,296876118,kojiryou,0,8,1,1,0,1,1,1,1,6
98488,296880661,kojiryou,0,9,1,1,0,1,2,1,1,7
98489,296886517,kojiryou,0,10,0,0,0,0,2,1,1,4
98490,296898473,kojiryou,1,11,3,1,0,2,3,2,1,12
98491,305919322,kojiryou,0,12,0,0,0,1,2,1,1,5
98492,308759357,kojiryou,0,13,1,3,1,2,2,2,1,12
98493,308782677,kojiryou,0,14,0,0,0,0,2,1,1,4
98494,308782945,kojiryou,0,15,1,1,0,1,1,1,1,6
98495,308804564,kojiryou,0,16,1,1,1,2,2,2,1,10
98496,314454616,kojiryou,0,17,1,1,0,1,2,1,1,7
98497,319947526,kojiryou,0,18,1,1,0,2,2,1,1,8
98498,332332734,kojiryou,1,19,1,3,2,2,2,2,2,14
98499,332336057,kojiryou,0,20,1,0,0,0,2,2,1,6
