,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
98600,278173212,kompazr2,0,1,1,2,0,1,2,2,1,9
98601,281564311,kompazr2,0,2,1,2,0,1,2,2,1,9
98602,282882897,kompazr2,0,3,2,1,0,1,2,1,1,8
98603,283195006,kompazr2,0,4,1,1,0,0,2,1,1,6
98604,283195246,kompazr2,0,5,0,0,0,0,2,1,1,4
98605,295462159,kompazr2,0,6,1,1,0,0,2,1,1,6
98606,297591248,kompazr2,0,7,1,1,3,0,2,2,2,11
98607,297591660,kompazr2,0,8,1,1,1,0,2,2,1,8
98608,299596836,kompazr2,0,9,0,0,0,1,2,1,3,7
98609,309394191,kompazr2,0,10,1,1,2,1,2,2,2,11
98610,309778960,kompazr2,0,11,3,1,1,1,2,2,2,12
98611,309783781,kompazr2,0,12,3,1,1,1,2,2,2,12
98612,311806407,kompazr2,0,13,0,0,0,0,0,0,0,0
98613,336367427,kompazr2,0,14,0,0,2,0,3,2,2,9
98614,347082345,kompazr2,0,15,1,1,1,1,2,1,1,8
98615,348161077,kompazr2,0,16,1,1,2,2,3,2,2,13
98616,349712678,kompazr2,0,17,3,1,3,2,3,2,2,16
98617,350963282,kompazr2,0,18,1,1,1,0,2,2,1,8
98618,350967006,kompazr2,0,19,1,1,1,0,2,2,1,8
98619,353649892,kompazr2,0,20,1,1,1,1,2,1,1,8
