,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
98880,322452818,kuriba10211021,0,1,3,1,0,1,2,1,1,9
98881,322452945,kuriba10211021,1,2,1,1,0,0,2,2,1,7
98882,322453077,kuriba10211021,1,3,1,1,0,0,2,2,1,7
98883,322453682,kuriba10211021,0,4,3,1,0,1,2,1,1,9
98884,322453827,kuriba10211021,0,5,3,1,0,1,2,1,1,9
98885,322458646,kuriba10211021,1,6,1,3,3,2,2,2,1,14
98886,322458677,kuriba10211021,1,7,1,1,0,1,1,1,1,6
98887,322458719,kuriba10211021,1,8,1,1,1,1,2,1,2,9
98888,322458969,kuriba10211021,1,9,1,2,3,3,2,2,1,14
98889,322459089,kuriba10211021,1,10,0,0,0,1,2,1,1,5
98890,322462666,kuriba10211021,1,11,1,2,0,0,1,2,1,7
98891,322462721,kuriba10211021,1,12,1,1,0,0,1,1,1,5
98892,322463050,kuriba10211021,1,13,0,0,0,0,2,1,1,4
98893,322463127,kuriba10211021,1,14,0,0,0,1,2,1,1,5
98894,322463157,kuriba10211021,1,15,1,1,0,1,2,1,1,7
98895,322463199,kuriba10211021,1,16,1,1,0,1,2,1,1,7
98896,322463478,kuriba10211021,1,17,1,2,0,0,1,2,0,6
98897,322463636,kuriba10211021,1,18,1,1,1,1,2,2,1,9
98898,322541758,kuriba10211021,1,19,1,1,2,0,2,2,0,8
98899,323069966,kuriba10211021,1,20,2,3,3,3,2,2,2,17
