,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
99380,281692569,laradolezal,0,1,0,0,0,0,1,2,0,3
99381,281697434,laradolezal,0,2,0,0,0,0,1,2,1,4
99382,281698165,laradolezal,0,3,0,0,0,0,2,2,1,5
99383,281699366,laradolezal,0,4,0,0,0,0,1,2,1,4
99384,281711136,laradolezal,0,5,0,0,0,0,1,2,1,4
99385,281989474,laradolezal,0,6,1,0,0,0,1,2,1,5
99386,281991150,laradolezal,0,7,0,0,0,1,1,2,1,5
99387,281994571,laradolezal,0,8,0,0,0,0,1,1,1,3
99388,281995303,laradolezal,0,9,0,0,0,0,2,1,1,4
99389,281996199,laradolezal,0,10,1,1,0,1,2,1,1,7
99390,282274239,laradolezal,1,11,1,1,0,1,2,1,1,7
99391,282277546,laradolezal,1,12,1,0,1,3,3,2,1,11
99392,282278308,laradolezal,1,13,0,0,0,1,1,2,1,5
99393,282279225,laradolezal,1,14,0,0,0,0,2,2,1,5
99394,282290343,laradolezal,1,15,0,0,0,1,2,1,0,4
99395,282753028,laradolezal,0,16,0,0,0,0,1,2,0,3
99396,282753522,laradolezal,0,17,0,0,0,1,2,2,0,5
99397,282754071,laradolezal,0,18,0,0,0,1,2,2,1,6
99398,282754968,laradolezal,0,19,0,0,0,1,1,2,0,4
99399,282755627,laradolezal,0,20,0,0,0,0,1,2,0,3
