,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
100100,277253822,lennoxli,0,1,2,3,3,3,2,2,1,16
100101,277414477,lennoxli,0,2,2,0,0,3,1,2,2,10
100102,279022001,lennoxli,0,3,2,0,2,3,3,2,1,13
100103,279126393,lennoxli,0,4,1,0,2,3,2,3,0,11
100104,279133243,lennoxli,1,5,1,3,2,3,2,2,2,15
100105,279184852,lennoxli,0,6,2,1,2,3,3,2,1,14
100106,279186825,lennoxli,0,7,1,2,0,2,2,2,1,10
100107,279187297,lennoxli,0,8,1,1,0,3,2,2,1,10
100108,279187701,lennoxli,0,9,1,0,0,3,2,2,1,9
100109,279188518,lennoxli,0,10,1,0,2,3,1,2,1,10
100110,279188910,lennoxli,0,11,1,0,2,3,3,2,1,12
100111,279189340,lennoxli,0,12,0,0,0,3,1,2,1,7
100112,279189739,lennoxli,0,13,2,0,3,3,2,0,2,12
100113,279191923,lennoxli,0,14,1,1,0,0,1,1,1,5
100114,279242837,lennoxli,0,15,1,1,2,1,2,2,1,10
100115,279244543,lennoxli,0,16,1,0,3,2,1,2,2,11
100116,279296794,lennoxli,0,17,1,3,0,3,2,2,0,11
100117,279300215,lennoxli,0,18,1,3,0,3,2,3,0,12
100118,279584148,lennoxli,0,19,1,0,2,3,3,2,1,12
100119,279585464,lennoxli,0,20,0,0,0,0,0,0,0,0
