,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
100160,301927495,leonardo51,1,1,1,1,2,0,2,2,1,9
100161,307785430,leonardo51,0,2,1,0,0,0,1,2,1,5
100162,308199366,leonardo51,0,3,1,1,0,0,1,1,1,5
100163,314039799,leonardo51,0,4,1,2,0,1,2,2,1,9
100164,314399375,leonardo51,0,5,0,0,0,0,0,0,0,0
100165,314401307,leonardo51,0,6,0,0,0,0,0,0,0,0
100166,314402472,leonardo51,0,7,0,0,0,0,0,0,0,0
100167,314402921,leonardo51,0,8,0,0,0,0,0,0,0,0
100168,314465950,leonardo51,1,9,3,3,3,3,3,2,2,19
100169,314466550,leonardo51,0,10,2,0,0,0,1,2,1,6
100170,314474487,leonardo51,0,11,0,0,0,0,1,1,1,3
100171,314475179,leonardo51,0,12,0,0,0,0,1,1,0,2
100172,314478757,leonardo51,0,13,1,1,0,0,1,1,0,4
100173,314483021,leonardo51,0,14,0,0,0,0,1,1,1,3
100174,314486605,leonardo51,0,15,0,0,0,0,0,0,0,0
100175,314502034,leonardo51,1,16,3,3,3,3,3,2,2,19
100176,314513972,leonardo51,0,17,0,0,0,0,0,0,0,0
100177,314560206,leonardo51,0,18,0,0,0,0,1,1,0,2
100178,314561455,leonardo51,0,19,0,0,0,3,2,1,2,8
100179,314563902,leonardo51,0,20,1,1,2,0,2,2,2,10
