,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
101020,277698288,lizzyahrens,0,1,1,2,0,1,1,2,1,8
101021,278334164,lizzyahrens,0,2,1,2,0,2,2,2,1,10
101022,278901751,lizzyahrens,0,3,1,0,0,0,1,2,1,5
101023,281385007,lizzyahrens,0,4,1,3,0,3,2,2,1,12
101024,285181632,lizzyahrens,0,5,1,3,2,3,2,2,2,15
101025,286028390,lizzyahrens,0,6,1,3,2,3,1,2,2,14
101026,289287984,lizzyahrens,0,7,1,0,0,0,2,2,1,6
101027,290424290,lizzyahrens,0,8,1,0,1,2,1,2,0,7
101028,290582573,lizzyahrens,0,9,1,0,0,0,2,2,1,6
101029,291452501,lizzyahrens,0,10,1,0,0,0,2,2,1,6
101030,292113803,lizzyahrens,0,11,2,2,0,1,2,2,1,10
101031,296473469,lizzyahrens,0,12,2,2,0,0,2,2,1,9
101032,297361603,lizzyahrens,0,13,1,3,1,2,3,2,2,14
101033,301654584,lizzyahrens,0,14,1,2,3,2,1,2,2,13
101034,302262943,lizzyahrens,0,15,1,2,3,0,2,2,2,12
101035,303445454,lizzyahrens,0,16,1,3,2,2,2,2,2,14
101036,303975835,lizzyahrens,0,17,2,0,3,2,3,2,2,14
101037,304468776,lizzyahrens,0,18,1,2,0,2,2,2,1,10
101038,305011990,lizzyahrens,0,19,0,0,3,0,3,2,2,10
101039,307173417,lizzyahrens,0,20,2,3,2,3,2,2,2,16
