,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
101560,283035826,lstew,0,1,1,1,0,1,2,2,3,10
101561,284897415,lstew,0,2,1,1,0,0,2,1,3,8
101562,288206174,lstew,0,3,1,1,0,0,2,2,3,9
101563,291791239,lstew,0,4,2,0,0,0,1,1,1,5
101564,292129335,lstew,0,5,2,0,0,0,2,1,2,7
101565,292135008,lstew,0,6,1,1,0,0,1,1,1,5
101566,295247729,lstew,0,7,1,1,0,0,2,1,3,8
101567,297387437,lstew,0,8,0,0,0,0,1,1,1,3
101568,297389411,lstew,1,9,3,3,3,3,3,2,3,20
101569,297478495,lstew,0,10,1,1,0,0,2,2,1,7
101570,298095361,lstew,0,11,1,1,0,3,1,1,2,9
101571,298097278,lstew,0,12,1,1,0,0,2,1,2,7
101572,298466520,lstew,1,13,1,3,3,3,2,2,2,16
101573,299810620,lstew,1,14,1,3,3,3,2,2,2,16
101574,300162671,lstew,1,15,1,3,1,3,1,2,1,12
101575,300165805,lstew,1,16,1,3,3,3,2,2,2,16
101576,304814974,lstew,0,17,1,1,0,0,2,1,1,6
101577,305557773,lstew,1,18,1,3,3,3,2,2,2,16
101578,305867002,lstew,1,19,1,3,3,3,2,2,2,16
101579,306034674,lstew,1,20,1,3,3,3,2,2,2,16
