,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
102860,341000098,masonshhs,0,1,1,0,0,1,2,2,1,7
102861,341849858,masonshhs,1,2,1,1,0,1,2,1,1,7
102862,341852771,masonshhs,1,3,1,0,0,3,3,1,1,9
102863,341855564,masonshhs,1,4,0,0,0,1,2,2,1,6
102864,341860024,masonshhs,1,5,0,0,0,0,2,2,1,5
102865,341860850,masonshhs,1,6,0,0,0,1,2,1,0,4
102866,342605395,masonshhs,0,7,1,0,0,1,2,2,1,7
102867,343372767,masonshhs,0,8,1,1,0,1,1,1,1,6
102868,344303202,masonshhs,0,9,1,1,0,1,2,1,1,7
102869,345129001,masonshhs,0,10,1,1,1,0,2,1,1,7
102870,346917353,masonshhs,0,11,1,1,1,1,3,1,1,9
102871,347692930,masonshhs,1,12,1,0,0,1,2,2,1,7
102872,347694625,masonshhs,1,13,1,1,1,3,3,1,1,11
102873,347696324,masonshhs,1,14,0,0,0,0,2,1,1,4
102874,347698608,masonshhs,1,15,0,0,0,1,3,1,1,6
102875,347702289,masonshhs,1,16,1,0,0,0,1,2,1,5
102876,350425717,masonshhs,0,17,2,1,0,2,2,1,1,9
102877,351195834,masonshhs,1,18,2,1,0,1,1,1,0,6
102878,351199118,masonshhs,1,19,2,0,0,0,2,2,2,8
102879,351201735,masonshhs,1,20,1,1,0,2,1,1,1,7
