,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
103840,319104315,mewKITTYKATmew,1,1,0,0,0,0,2,1,0,3
103841,319180052,mewKITTYKATmew,1,2,1,0,0,0,2,2,1,6
103842,319255310,mewKITTYKATmew,1,3,1,1,0,1,2,2,2,9
103843,319255750,mewKITTYKATmew,1,4,0,0,0,0,1,1,1,3
103844,319257043,mewKITTYKATmew,1,5,0,0,0,0,2,1,0,3
103845,319258521,mewKITTYKATmew,1,6,0,0,0,0,2,1,0,3
103846,319280966,mewKITTYKATmew,1,7,1,0,0,0,2,2,1,6
103847,319688645,mewKITTYKATmew,0,8,1,0,0,0,2,2,1,6
103848,319946476,mewKITTYKATmew,1,9,0,0,0,0,2,1,0,3
103849,319948100,mewKITTYKATmew,1,10,1,0,0,0,2,2,1,6
103850,319982705,mewKITTYKATmew,1,11,1,1,0,0,2,2,1,7
103851,320785963,mewKITTYKATmew,1,12,3,1,0,2,2,2,1,11
103852,320875001,mewKITTYKATmew,0,13,1,0,0,0,1,2,1,5
103853,320877428,mewKITTYKATmew,0,14,0,0,0,0,1,2,1,4
103854,320969386,mewKITTYKATmew,1,15,0,0,0,0,2,1,0,3
103855,321203884,mewKITTYKATmew,1,16,1,2,0,0,2,2,1,8
103856,321400315,mewKITTYKATmew,1,17,3,0,0,0,2,2,1,8
103857,322028550,mewKITTYKATmew,0,18,1,2,0,2,1,2,1,9
103858,323289200,mewKITTYKATmew,1,19,0,0,0,0,0,0,0,0
103859,325493481,mewKITTYKATmew,1,20,1,2,0,0,1,2,1,7
