,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
104080,322533318,mikey_lopez,1,1,0,0,0,0,2,1,0,3
104081,322533490,mikey_lopez,1,2,0,0,0,0,2,1,0,3
104082,322533869,mikey_lopez,1,3,1,1,0,2,2,1,1,8
104083,322535979,mikey_lopez,1,4,1,1,0,1,2,1,1,7
104084,322537074,mikey_lopez,1,5,0,0,0,0,2,1,0,3
104085,322537880,mikey_lopez,1,6,1,3,0,3,2,1,1,11
104086,322539310,mikey_lopez,1,7,1,3,0,3,2,1,1,11
104087,322540238,mikey_lopez,1,8,1,1,0,2,2,1,1,8
104088,322540918,mikey_lopez,1,9,0,0,0,0,2,1,0,3
104089,322541990,mikey_lopez,1,10,1,3,0,3,1,1,1,10
104090,322544434,mikey_lopez,1,11,1,3,0,2,2,1,1,10
104091,322546095,mikey_lopez,1,12,1,1,0,1,2,1,1,7
104092,322598942,mikey_lopez,0,13,1,1,0,3,2,2,1,10
104093,322601808,mikey_lopez,1,14,1,1,0,2,3,1,2,10
104094,322607594,mikey_lopez,1,15,3,1,3,3,3,2,2,17
104095,322609936,mikey_lopez,1,16,0,0,0,0,2,1,0,3
104096,322618468,mikey_lopez,1,17,1,1,0,1,2,1,1,7
104097,322621377,mikey_lopez,1,18,1,1,0,2,2,1,1,8
104098,322631813,mikey_lopez,1,19,1,3,0,2,1,1,1,9
104099,322730414,mikey_lopez,1,20,1,3,1,3,2,2,2,14
