,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
104800,278701406,monkeyGuy372,0,1,1,2,0,0,2,2,1,8
104801,279558298,monkeyGuy372,1,2,1,1,0,1,2,1,1,7
104802,279559099,monkeyGuy372,1,3,1,0,0,3,3,1,1,9
104803,279561493,monkeyGuy372,1,4,0,0,0,0,2,2,1,5
104804,279561919,monkeyGuy372,1,5,0,0,0,0,2,2,1,5
104805,279562153,monkeyGuy372,1,6,0,0,0,0,2,1,0,3
104806,280198663,monkeyGuy372,0,7,1,1,0,0,2,1,1,6
104807,280804965,monkeyGuy372,0,8,0,0,1,0,2,1,0,4
104808,281778707,monkeyGuy372,0,9,1,1,0,0,2,1,1,6
104809,282077323,monkeyGuy372,1,10,1,0,0,1,2,2,1,7
104810,282079119,monkeyGuy372,1,11,1,1,1,3,3,1,1,11
104811,282079613,monkeyGuy372,1,12,0,0,0,0,2,1,1,4
104812,282081126,monkeyGuy372,1,13,0,0,0,1,3,1,1,6
104813,282341513,monkeyGuy372,1,14,1,0,0,0,1,2,1,5
104814,283110921,monkeyGuy372,0,15,1,1,1,1,2,1,2,9
104815,283655474,monkeyGuy372,0,16,1,1,1,2,2,1,1,9
104816,284402541,monkeyGuy372,0,17,1,1,1,0,2,2,1,8
104817,286406114,monkeyGuy372,0,18,3,1,1,2,2,2,2,13
104818,288001418,monkeyGuy372,1,19,2,1,0,1,1,1,0,6
104819,288001956,monkeyGuy372,1,20,2,0,0,0,2,2,2,8
