,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
105280,284656929,mrzack01,0,1,1,1,0,1,1,1,1,6
105281,284662903,mrzack01,0,2,1,1,0,2,1,1,1,7
105282,284828546,mrzack01,0,3,1,3,0,2,2,2,1,11
105283,284925032,mrzack01,0,4,1,0,0,0,1,2,1,5
105284,284935071,mrzack01,0,5,1,1,0,0,2,1,1,6
105285,285154607,mrzack01,0,6,1,3,0,2,1,1,1,9
105286,285708375,mrzack01,0,7,1,1,0,2,1,1,1,7
105287,287029678,mrzack01,0,8,1,3,0,2,1,1,1,9
105288,287181242,mrzack01,0,9,1,1,0,2,1,1,1,7
105289,287192876,mrzack01,0,10,1,3,0,2,1,1,1,9
105290,288739211,mrzack01,0,11,0,0,0,0,1,2,1,4
105291,289265005,mrzack01,0,12,1,1,0,2,1,1,1,7
105292,289301127,mrzack01,0,13,1,1,0,2,1,1,1,7
105293,292941649,mrzack01,0,14,1,3,0,2,1,1,1,9
105294,293793095,mrzack01,0,15,1,1,0,2,1,1,1,7
105295,293837084,mrzack01,0,16,1,3,0,2,1,1,1,9
105296,294166901,mrzack01,0,17,1,3,0,2,1,1,1,9
105297,294286359,mrzack01,0,18,1,0,0,2,1,1,1,6
105298,295314664,mrzack01,0,19,1,1,0,2,1,1,1,7
105299,297813312,mrzack01,0,20,1,2,0,0,2,2,1,8
