,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
105740,334544534,myforevername,0,1,0,0,0,0,2,0,1,3
105741,334547815,myforevername,0,2,1,1,0,0,2,1,1,6
105742,334549994,myforevername,0,3,1,0,0,0,2,0,1,4
105743,334592353,myforevername,0,4,1,0,0,0,2,0,1,4
105744,334592544,myforevername,0,5,1,0,0,0,2,0,1,4
105745,334594543,myforevername,0,6,0,0,0,0,2,0,1,3
105746,334595302,myforevername,0,7,1,0,0,0,2,0,1,4
105747,334596224,myforevername,0,8,0,0,0,0,2,0,0,2
105748,334597043,myforevername,0,9,1,3,0,0,1,3,0,8
105749,335802994,myforevername,0,10,1,0,0,0,2,0,1,4
105750,335809054,myforevername,1,11,1,3,0,2,2,1,2,11
105751,335809938,myforevername,0,12,0,0,0,0,0,0,0,0
105752,335811190,myforevername,1,13,3,3,3,2,3,2,2,18
105753,335811794,myforevername,1,14,3,1,3,1,2,2,2,14
105754,335813715,myforevername,0,15,0,0,0,0,0,0,0,0
105755,335814112,myforevername,1,16,3,1,2,3,3,2,2,16
105756,335815703,myforevername,1,17,1,1,0,2,3,1,1,9
105757,335907602,myforevername,0,18,0,0,0,0,0,0,0,0
105758,335909071,myforevername,0,19,0,0,0,0,0,0,0,0
105759,335909550,myforevername,0,20,0,0,0,0,0,0,0,0
