,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
106680,279759241,nihaltech407,0,1,1,0,0,0,2,2,1,6
106681,281370748,nihaltech407,0,2,1,2,1,0,2,2,1,9
106682,281491978,nihaltech407,0,3,1,2,0,1,2,2,1,9
106683,282356109,nihaltech407,0,4,1,2,1,0,2,2,1,9
106684,289601858,nihaltech407,0,5,1,0,0,0,2,2,1,6
106685,291395458,nihaltech407,1,6,1,2,0,3,2,2,2,12
106686,293449045,nihaltech407,0,7,1,3,3,3,2,2,2,16
106687,294489837,nihaltech407,0,8,1,3,1,3,2,2,2,14
106688,294549361,nihaltech407,0,9,3,3,1,3,2,2,2,16
106689,294658844,nihaltech407,0,10,1,3,1,3,2,2,2,14
106690,294997671,nihaltech407,0,11,1,3,2,3,2,2,2,15
106691,295204875,nihaltech407,1,12,1,1,0,1,3,1,1,8
106692,299348484,nihaltech407,0,13,1,3,1,3,3,2,2,15
106693,301306142,nihaltech407,1,14,1,3,0,2,3,2,1,12
106694,304576947,nihaltech407,0,15,3,2,1,1,2,2,2,13
106695,305675734,nihaltech407,0,16,3,3,3,2,3,2,2,18
106696,306097078,nihaltech407,0,17,3,3,3,2,3,2,2,18
106697,306414221,nihaltech407,0,18,3,2,3,2,2,2,2,16
106698,308681753,nihaltech407,0,19,1,3,3,2,2,2,2,15
106699,308948787,nihaltech407,0,20,3,3,3,3,2,2,2,18
