,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
107300,292963887,nminh0802,1,1,3,3,3,3,2,2,2,18
107301,292966209,nminh0802,0,2,1,1,0,2,2,1,1,8
107302,293632860,nminh0802,0,3,1,1,0,2,2,1,1,8
107303,294302079,nminh0802,0,4,1,0,0,0,1,2,1,5
107304,294307821,nminh0802,0,5,0,0,0,0,1,2,0,3
107305,294852591,nminh0802,0,6,1,1,1,2,2,2,2,11
107306,296985476,nminh0802,0,7,0,0,2,0,1,2,0,5
107307,297308465,nminh0802,0,8,0,0,3,0,1,2,2,8
107308,297320478,nminh0802,0,9,2,3,3,3,2,2,2,17
107309,297681448,nminh0802,0,10,1,0,0,0,2,2,0,5
107310,298007423,nminh0802,0,11,1,0,2,2,2,2,2,11
107311,298019035,nminh0802,0,12,0,0,2,1,3,1,2,9
107312,298028569,nminh0802,0,13,0,0,0,0,2,2,2,6
107313,298038239,nminh0802,0,14,1,0,0,1,2,2,1,7
107314,298896838,nminh0802,0,15,2,0,0,0,2,2,1,7
107315,298906687,nminh0802,0,16,1,0,2,2,1,2,2,10
107316,309507002,nminh0802,0,17,1,0,1,0,3,1,3,9
107317,309833762,nminh0802,0,18,2,2,1,0,2,2,3,12
107318,311910831,nminh0802,1,19,2,1,3,1,2,2,3,14
107319,314718386,nminh0802,1,20,2,3,3,3,2,2,3,18
