,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
107860,280799704,nyanmandoge,1,1,1,3,0,3,2,1,1,11
107861,281451702,nyanmandoge,1,2,1,2,0,0,2,2,1,8
107862,281454982,nyanmandoge,1,3,2,1,1,1,3,3,1,12
107863,281459770,nyanmandoge,1,4,1,3,0,2,2,1,1,10
107864,281667026,nyanmandoge,1,5,1,2,1,2,2,2,0,10
107865,281674533,nyanmandoge,1,6,1,3,1,3,2,2,2,14
107866,282747817,nyanmandoge,0,7,2,0,0,1,2,1,1,7
107867,284561936,nyanmandoge,0,8,1,1,0,0,2,1,1,6
107868,284564528,nyanmandoge,1,9,1,1,0,2,2,1,1,8
107869,284620572,nyanmandoge,1,10,1,1,0,1,2,1,1,7
107870,286080160,nyanmandoge,1,11,3,3,0,2,2,1,1,12
107871,288225536,nyanmandoge,1,12,1,1,0,1,2,1,1,7
107872,288767746,nyanmandoge,1,13,1,1,0,1,2,1,1,7
107873,289298064,nyanmandoge,1,14,3,3,3,3,2,2,2,18
107874,289991161,nyanmandoge,1,15,1,1,1,1,2,2,1,9
107875,290316438,nyanmandoge,0,16,1,1,0,0,2,1,1,6
107876,290664989,nyanmandoge,0,17,1,3,0,3,2,1,1,11
107877,292118259,nyanmandoge,1,18,1,1,0,1,2,1,1,7
107878,292149160,nyanmandoge,0,19,2,3,1,2,2,2,1,13
107879,293668637,nyanmandoge,1,20,1,1,0,1,2,1,1,7
