,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
107900,284276382,obidike011706,0,1,1,1,0,1,1,1,0,5
107901,284849052,obidike011706,0,2,1,2,0,1,2,2,1,9
107902,286902418,obidike011706,1,3,1,1,0,1,2,1,1,7
107903,287891625,obidike011706,0,4,1,3,0,2,2,1,1,10
107904,289933433,obidike011706,0,5,1,0,0,2,2,1,1,7
107905,292079937,obidike011706,1,6,3,1,0,2,2,1,2,11
107906,292097663,obidike011706,1,7,1,3,0,2,2,1,1,10
107907,292625287,obidike011706,1,8,1,3,0,2,2,1,1,10
107908,293655559,obidike011706,1,9,1,3,0,2,2,1,1,10
107909,294130466,obidike011706,1,10,1,3,2,3,1,2,1,13
107910,294152837,obidike011706,0,11,1,3,0,3,1,1,1,10
107911,294309465,obidike011706,1,12,1,1,0,3,2,1,1,9
107912,296044720,obidike011706,1,13,1,1,0,2,2,2,1,9
107913,296056876,obidike011706,1,14,1,2,0,1,2,2,1,9
107914,296064592,obidike011706,1,15,1,0,0,2,1,1,0,5
107915,299273326,obidike011706,0,16,1,1,1,0,1,2,1,7
107916,305740385,obidike011706,1,17,3,2,3,0,3,2,1,14
107917,307158147,obidike011706,1,18,1,1,1,2,2,2,1,10
107918,310001005,obidike011706,1,19,1,2,3,2,3,2,1,14
107919,311253872,obidike011706,0,20,1,1,3,0,2,2,1,10
