,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
108020,277397226,official-mariogamers,1,1,0,0,0,0,0,0,0,0
108021,277397339,official-mariogamers,0,2,0,0,0,0,0,0,0,0
108022,277782151,official-mariogamers,0,3,0,0,0,0,0,0,0,0
108023,279011648,official-mariogamers,0,4,1,0,1,0,2,2,1,7
108024,279153136,official-mariogamers,0,5,1,0,0,0,1,2,1,5
108025,279183890,official-mariogamers,0,6,1,0,0,0,1,2,1,5
108026,279187443,official-mariogamers,1,7,1,1,0,1,2,1,1,7
108027,279241688,official-mariogamers,0,8,0,0,0,1,2,1,1,5
108028,279277003,official-mariogamers,1,9,3,1,0,1,2,1,1,9
108029,279277361,official-mariogamers,0,10,0,0,0,0,0,0,0,0
108030,279868453,official-mariogamers,0,11,1,1,0,0,2,1,1,6
108031,280537987,official-mariogamers,0,12,0,0,0,0,0,0,0,0
108032,280539229,official-mariogamers,1,13,1,1,0,1,2,1,1,7
108033,280800937,official-mariogamers,1,14,1,1,0,0,2,1,0,5
108034,280801078,official-mariogamers,0,15,0,0,0,1,2,1,1,5
108035,280809005,official-mariogamers,1,16,0,0,0,0,0,0,0,0
108036,280810799,official-mariogamers,1,17,1,2,0,1,3,2,1,10
108037,280825713,official-mariogamers,1,18,1,3,0,2,2,1,2,11
108038,280931680,official-mariogamers,1,19,0,0,0,0,0,0,0,0
108039,280987125,official-mariogamers,1,20,1,1,0,0,2,1,1,6
