,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
108080,277782625,ohinson13,0,1,1,2,0,0,1,2,1,7
108081,278986735,ohinson13,1,2,1,1,1,2,2,1,1,9
108082,279558288,ohinson13,1,3,1,1,0,1,2,1,1,7
108083,279558582,ohinson13,1,4,1,0,0,3,3,1,1,9
108084,279559369,ohinson13,1,5,0,0,0,1,1,2,1,5
108085,279561174,ohinson13,1,6,0,0,0,0,2,2,1,5
108086,279561864,ohinson13,1,7,0,0,0,0,2,1,0,3
108087,280195906,ohinson13,0,8,1,1,0,1,2,1,1,7
108088,280518637,ohinson13,0,9,1,1,1,1,2,1,2,9
108089,282079281,ohinson13,1,10,1,0,0,1,2,2,1,7
108090,282080741,ohinson13,1,11,1,1,1,3,3,1,1,11
108091,282081515,ohinson13,1,12,0,0,0,0,2,1,1,4
108092,282081972,ohinson13,1,13,1,0,0,1,3,1,1,7
108093,282082773,ohinson13,1,14,1,0,0,1,1,2,1,6
108094,283110679,ohinson13,0,15,1,1,1,1,2,2,2,10
108095,283656173,ohinson13,0,16,1,1,1,2,2,2,1,10
108096,284985280,ohinson13,0,17,1,1,1,2,2,2,1,10
108097,286402241,ohinson13,0,18,1,1,1,2,2,2,2,11
108098,288003306,ohinson13,1,19,2,1,0,1,1,1,0,6
108099,288004197,ohinson13,1,20,2,0,0,0,2,2,2,8
