,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
109240,281031208,partysS,0,1,1,2,0,0,1,2,2,8
109241,281033065,partysS,0,2,1,2,0,0,1,2,0,6
109242,281034790,partysS,1,3,2,1,0,3,2,2,2,12
109243,287522256,partysS,0,4,2,0,2,0,1,2,0,7
109244,287526903,partysS,0,5,1,1,1,0,1,2,0,6
109245,287628912,partysS,0,6,1,2,0,1,1,2,1,8
109246,287738453,partysS,0,7,2,0,2,0,1,2,0,7
109247,288168147,partysS,0,8,1,1,1,1,2,2,2,10
109248,288969543,partysS,0,9,1,2,0,1,1,2,1,8
109249,290059542,partysS,0,10,0,0,0,0,2,2,0,4
109250,290562031,partysS,0,11,1,1,0,1,1,1,1,6
109251,291114986,partysS,0,12,0,0,2,0,1,2,0,5
109252,291183706,partysS,0,13,1,2,0,0,2,2,1,8
109253,292605149,partysS,0,14,0,0,2,0,1,2,0,5
109254,292606648,partysS,1,15,0,0,0,0,0,0,0,0
109255,292653524,partysS,0,16,1,2,0,0,2,2,0,7
109256,292658426,partysS,1,17,0,0,0,0,1,1,1,3
109257,292756076,partysS,0,18,0,0,0,0,0,0,0,0
109258,292756471,partysS,0,19,1,1,0,0,2,1,1,6
109259,292770430,partysS,1,20,1,3,0,3,2,1,1,11
