,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
109260,298690569,passive_driftblaze,1,1,1,1,1,2,2,2,2,11
109261,298691716,passive_driftblaze,1,2,2,3,2,2,3,1,2,15
109262,298694650,passive_driftblaze,1,3,3,3,3,3,3,2,2,19
109263,299026892,passive_driftblaze,1,4,3,3,3,3,3,2,3,20
109264,299030448,passive_driftblaze,1,5,3,3,3,3,3,2,3,20
109265,299047210,passive_driftblaze,0,6,1,0,0,0,1,1,1,4
109266,299063179,passive_driftblaze,0,7,1,1,0,0,2,1,1,6
109267,299068400,passive_driftblaze,1,8,1,1,0,0,3,2,1,8
109268,299084404,passive_driftblaze,0,9,1,1,0,0,2,1,1,6
109269,299085524,passive_driftblaze,0,10,0,0,0,0,3,2,1,6
109270,299087899,passive_driftblaze,0,11,1,0,0,0,2,2,1,6
109271,299088802,passive_driftblaze,0,12,0,0,0,1,2,1,1,5
109272,299089291,passive_driftblaze,0,13,1,2,0,0,1,2,1,7
109273,299091571,passive_driftblaze,0,14,0,0,0,0,2,1,1,4
109274,299092112,passive_driftblaze,0,15,1,0,0,0,2,2,1,6
109275,299094098,passive_driftblaze,0,16,1,0,0,3,1,2,2,9
109276,299095552,passive_driftblaze,0,17,1,0,1,0,2,2,2,8
109277,299098354,passive_driftblaze,0,18,1,1,0,1,2,2,1,8
109278,299099983,passive_driftblaze,0,19,0,0,0,0,2,1,0,3
109279,299103320,passive_driftblaze,0,20,1,0,0,0,2,2,1,6
