,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
109620,287659579,pedro1610065252,1,1,3,3,3,3,3,2,2,19
109621,287671588,pedro1610065252,1,2,3,3,3,3,3,2,2,19
109622,287700527,pedro1610065252,1,3,3,3,3,3,3,2,2,19
109623,287944557,pedro1610065252,0,4,1,1,0,3,2,2,2,11
109624,288551632,pedro1610065252,1,5,3,3,3,3,3,2,2,19
109625,291488565,pedro1610065252,1,6,3,3,3,3,3,2,3,20
109626,292242337,pedro1610065252,1,7,1,0,1,0,2,2,1,7
109627,292445222,pedro1610065252,1,8,3,3,3,3,3,2,2,19
109628,293684922,pedro1610065252,1,9,1,3,3,3,3,2,2,17
109629,295717615,pedro1610065252,1,10,3,3,3,3,3,2,2,19
109630,297121960,pedro1610065252,1,11,3,3,3,3,3,2,3,20
109631,298971020,pedro1610065252,1,12,3,3,3,3,3,2,2,19
109632,302044170,pedro1610065252,0,13,1,3,1,2,2,1,1,11
109633,302462059,pedro1610065252,0,14,1,1,0,1,1,1,1,6
109634,304208295,pedro1610065252,1,15,3,3,3,3,3,2,3,20
109635,310941069,pedro1610065252,0,16,1,3,1,3,2,2,2,14
109636,311626656,pedro1610065252,0,17,1,1,3,2,2,2,2,13
109637,313913253,pedro1610065252,1,18,3,3,3,3,3,2,2,19
109638,314116226,pedro1610065252,1,19,3,3,3,3,3,2,3,20
109639,315910575,pedro1610065252,0,20,1,3,3,3,2,2,2,16
