,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
110600,282746585,poisonedlover,1,1,1,1,0,1,2,1,1,7
110601,283017428,poisonedlover,1,2,1,1,0,0,1,2,1,6
110602,283564817,poisonedlover,1,3,0,0,0,0,2,1,0,3
110603,284304170,poisonedlover,1,4,0,0,0,0,1,1,0,2
110604,284305881,poisonedlover,1,5,0,0,0,0,1,1,0,2
110605,284887764,poisonedlover,1,6,1,0,0,0,2,2,1,6
110606,284915444,poisonedlover,1,7,0,0,0,0,2,1,0,3
110607,284929492,poisonedlover,1,8,0,0,0,0,1,1,0,2
110608,284931043,poisonedlover,1,9,0,0,0,0,0,0,0,0
110609,285516144,poisonedlover,1,10,0,0,0,0,2,1,0,3
110610,285517075,poisonedlover,1,11,0,0,0,0,2,1,0,3
110611,285518006,poisonedlover,1,12,0,0,0,0,1,1,0,2
110612,286001247,poisonedlover,1,13,0,0,0,0,0,0,0,0
110613,286301394,poisonedlover,1,14,0,0,0,0,0,0,0,0
110614,286304968,poisonedlover,1,15,0,0,0,0,0,0,0,0
110615,286622736,poisonedlover,1,16,0,0,0,0,0,0,0,0
110616,288812628,poisonedlover,1,17,0,0,0,0,2,1,0,3
110617,289305691,poisonedlover,1,18,0,0,0,0,1,1,0,2
110618,291426180,poisonedlover,1,19,1,1,0,0,2,1,1,6
110619,315037712,poisonedlover,0,20,0,0,0,0,0,0,0,0
