,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
110660,277739123,polarbearlover1029,0,1,0,0,0,0,1,0,1,2
110661,278032834,polarbearlover1029,0,2,1,0,0,0,1,2,1,5
110662,278326774,polarbearlover1029,0,3,1,1,0,0,1,2,1,6
110663,278643148,polarbearlover1029,1,4,0,0,0,1,2,1,1,5
110664,281431270,polarbearlover1029,0,5,1,1,0,1,2,1,1,7
110665,281434350,polarbearlover1029,0,6,1,1,0,1,2,1,1,7
110666,281439442,polarbearlover1029,1,7,0,0,0,0,1,1,1,3
110667,282015354,polarbearlover1029,0,8,1,1,0,1,2,1,1,7
110668,282022399,polarbearlover1029,0,9,1,1,0,1,1,1,1,6
110669,282776333,polarbearlover1029,1,10,1,1,0,1,1,1,1,6
110670,282779413,polarbearlover1029,0,11,1,1,0,1,1,1,1,6
110671,283055295,polarbearlover1029,0,12,1,1,0,1,2,1,1,7
110672,284339299,polarbearlover1029,0,13,1,2,0,2,1,2,1,9
110673,284622891,polarbearlover1029,0,14,1,0,0,0,1,2,1,5
110674,284913968,polarbearlover1029,0,15,1,2,0,0,1,2,1,7
110675,286037631,polarbearlover1029,0,16,1,2,0,0,2,2,2,9
110676,286659204,polarbearlover1029,0,17,0,0,0,0,1,3,1,5
110677,286975387,polarbearlover1029,0,18,3,0,0,1,1,1,1,7
110678,286987020,polarbearlover1029,0,19,0,0,0,0,1,2,1,4
110679,287958139,polarbearlover1029,0,20,1,1,2,1,2,2,2,11
