,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
111480,282421671,pusheencatcoder,0,1,0,0,1,0,1,2,0,4
111481,282743580,pusheencatcoder,0,2,1,1,0,1,1,1,1,6
111482,282940328,pusheencatcoder,0,3,1,1,0,2,1,1,1,7
111483,285163935,pusheencatcoder,0,4,1,3,0,2,2,1,1,10
111484,286842709,pusheencatcoder,0,5,1,3,0,2,1,1,1,9
111485,287213842,pusheencatcoder,1,6,1,3,0,2,2,2,1,11
111486,287349772,pusheencatcoder,0,7,1,1,0,2,2,1,1,8
111487,291334157,pusheencatcoder,0,8,1,3,2,2,2,2,2,14
111488,292110937,pusheencatcoder,0,9,0,0,0,2,1,1,1,5
111489,292151283,pusheencatcoder,0,10,0,0,0,2,1,1,0,4
111490,292431854,pusheencatcoder,1,11,1,1,0,1,2,1,1,7
111491,292467713,pusheencatcoder,1,12,0,0,0,0,1,1,0,2
111492,292468928,pusheencatcoder,0,13,0,0,0,1,2,1,1,5
111493,292782228,pusheencatcoder,0,14,0,0,0,0,1,1,0,2
111494,293429757,pusheencatcoder,0,15,1,1,0,1,2,1,1,7
111495,293725377,pusheencatcoder,0,16,1,1,0,0,1,1,0,4
111496,293941918,pusheencatcoder,0,17,0,0,0,0,1,1,0,2
111497,297457135,pusheencatcoder,1,18,1,1,0,0,2,1,1,6
111498,297995309,pusheencatcoder,0,19,1,1,1,2,2,2,1,10
111499,298079588,pusheencatcoder,0,20,3,3,0,2,3,2,1,14
