,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
112140,280922582,respectforluigi,1,1,1,3,0,2,2,2,1,11
112141,280923415,respectforluigi,1,2,3,3,3,3,3,2,3,20
112142,280931024,respectforluigi,0,3,1,1,1,1,2,2,2,10
112143,287725900,respectforluigi,1,4,1,2,3,3,3,2,2,16
112144,297810270,respectforluigi,1,5,2,1,1,1,2,1,2,10
112145,298474019,respectforluigi,1,6,0,0,0,0,0,0,0,0
112146,298913524,respectforluigi,1,7,1,0,0,0,2,0,1,4
112147,298943630,respectforluigi,0,8,0,0,0,0,0,0,0,0
112148,298972179,respectforluigi,1,9,1,3,0,2,2,2,1,11
112149,303194333,respectforluigi,1,10,1,3,3,3,3,2,2,17
112150,305057475,respectforluigi,1,11,1,3,0,3,1,1,1,10
112151,307854363,respectforluigi,1,12,3,3,3,3,2,2,3,19
112152,308623753,respectforluigi,1,13,3,1,2,1,2,1,1,11
112153,310164271,respectforluigi,0,14,0,0,0,0,0,0,0,0
112154,311278506,respectforluigi,1,15,3,3,3,3,3,2,2,19
112155,311757843,respectforluigi,1,16,1,1,0,0,2,1,1,6
112156,313496562,respectforluigi,1,17,3,3,3,3,3,2,3,20
112157,313597366,respectforluigi,1,18,3,3,3,3,3,2,2,19
112158,314793421,respectforluigi,1,19,1,3,3,3,3,2,3,18
112159,314829092,respectforluigi,1,20,1,1,1,1,2,1,1,8
