,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
112160,294534895,reyaparkhe,0,1,0,0,0,0,0,0,0,0
112161,294536007,reyaparkhe,0,2,1,2,0,2,2,2,2,11
112162,294606653,reyaparkhe,0,3,0,0,0,0,2,1,1,4
112163,294608948,reyaparkhe,0,4,0,0,0,0,2,1,1,4
112164,295226120,reyaparkhe,0,5,1,3,1,3,2,2,2,14
112165,295504414,reyaparkhe,0,6,1,0,0,1,1,0,1,4
112166,296091406,reyaparkhe,0,7,2,1,0,0,2,1,1,7
112167,298334462,reyaparkhe,1,8,0,0,0,0,0,0,0,0
112168,298383677,reyaparkhe,1,9,1,3,3,3,1,2,1,14
112169,298399657,reyaparkhe,0,10,0,0,0,0,1,2,0,3
112170,298531496,reyaparkhe,0,11,1,1,0,0,1,1,0,4
112171,298553972,reyaparkhe,0,12,0,0,0,0,2,1,0,3
112172,298555213,reyaparkhe,0,13,0,0,0,0,0,0,0,0
112173,298557672,reyaparkhe,1,14,1,1,0,1,1,1,1,6
112174,298558454,reyaparkhe,0,15,1,1,0,1,1,1,1,6
112175,298561074,reyaparkhe,0,16,0,0,0,0,1,1,1,3
112176,298572665,reyaparkhe,1,17,0,0,0,0,1,1,1,3
112177,298574085,reyaparkhe,0,18,0,0,0,0,2,1,1,4
112178,298579386,reyaparkhe,0,19,1,2,0,1,2,2,1,9
112179,298581520,reyaparkhe,1,20,1,3,3,3,3,2,2,17
