,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
112200,285462142,ricardoYamamoto3,0,1,0,0,0,0,0,0,0,0
112201,286717533,ricardoYamamoto3,0,2,1,1,0,1,2,1,1,7
112202,286717997,ricardoYamamoto3,0,3,0,0,0,0,0,0,0,0
112203,287196394,ricardoYamamoto3,0,4,1,1,0,0,2,1,1,6
112204,287309461,ricardoYamamoto3,0,5,0,0,0,0,2,1,0,3
112205,287718696,ricardoYamamoto3,0,6,0,0,0,0,2,1,0,3
112206,287852766,ricardoYamamoto3,0,7,1,0,0,0,0,1,1,3
112207,288034146,ricardoYamamoto3,1,8,0,0,0,0,0,0,1,1
112208,288111278,ricardoYamamoto3,0,9,1,0,0,0,1,2,1,5
112209,288762214,ricardoYamamoto3,0,10,0,0,0,0,0,0,0,0
112210,288765792,ricardoYamamoto3,0,11,0,0,0,0,0,0,0,0
112211,288768516,ricardoYamamoto3,0,12,0,0,0,0,2,1,1,4
112212,288878650,ricardoYamamoto3,0,13,1,1,0,0,2,2,1,7
112213,288879040,ricardoYamamoto3,0,14,0,0,0,0,1,2,1,4
112214,288879752,ricardoYamamoto3,1,15,1,1,0,1,2,1,1,7
112215,294351200,ricardoYamamoto3,0,16,0,0,0,0,2,1,1,4
112216,294518658,ricardoYamamoto3,0,17,1,0,0,0,2,2,1,6
112217,294909915,ricardoYamamoto3,0,18,0,0,0,0,2,1,0,3
112218,294913513,ricardoYamamoto3,0,19,0,0,0,0,0,0,0,0
112219,298225294,ricardoYamamoto3,1,20,0,0,0,0,0,0,0,0
