,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
112260,278698505,ridgeracing14,0,1,1,0,3,2,2,2,1,11
112261,278711873,ridgeracing14,1,2,3,3,3,3,3,2,2,19
112262,278997329,ridgeracing14,1,3,1,1,0,0,2,2,1,7
112263,279017460,ridgeracing14,0,4,1,1,1,1,2,2,1,9
112264,279022714,ridgeracing14,0,5,0,0,0,0,1,2,0,3
112265,279023613,ridgeracing14,0,6,0,0,0,0,1,1,0,2
112266,279024878,ridgeracing14,0,7,0,0,0,0,1,1,0,2
112267,279026092,ridgeracing14,1,8,3,3,3,3,3,2,2,19
112268,279026519,ridgeracing14,0,9,0,0,0,0,0,0,0,0
112269,279260901,ridgeracing14,0,10,0,0,0,0,2,1,1,4
112270,279263166,ridgeracing14,1,11,3,3,3,3,3,2,2,19
112271,280935345,ridgeracing14,0,12,0,0,1,0,2,2,1,6
112272,280937476,ridgeracing14,1,13,1,3,3,2,2,2,2,15
112273,281001510,ridgeracing14,1,14,1,1,0,0,1,2,1,6
112274,281002008,ridgeracing14,0,15,1,1,1,1,2,2,2,10
112275,281013744,ridgeracing14,1,16,1,1,3,2,3,2,2,14
112276,281014025,ridgeracing14,0,17,0,0,0,0,0,0,0,0
112277,281014292,ridgeracing14,0,18,1,1,1,0,2,2,1,8
112278,281022470,ridgeracing14,0,19,0,0,0,0,2,1,1,4
112279,281023881,ridgeracing14,0,20,1,1,0,0,2,1,1,6
