,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
112340,320966756,ritsur,1,1,3,1,3,1,2,2,2,14
112341,322464298,ritsur,0,2,3,1,3,2,3,2,2,16
112342,322466802,ritsur,0,3,3,2,1,2,3,2,1,14
112343,322470940,ritsur,0,4,3,1,3,3,3,2,2,17
112344,322551847,ritsur,1,5,1,3,1,2,2,2,1,12
112345,322552557,ritsur,1,6,2,3,3,2,2,2,2,16
112346,322556524,ritsur,0,7,0,0,0,0,2,1,1,4
112347,322557867,ritsur,0,8,1,1,1,1,2,1,1,8
112348,322795696,ritsur,1,9,1,3,3,2,3,2,1,15
112349,322979628,ritsur,1,10,2,3,3,3,3,2,3,19
112350,322983249,ritsur,1,11,2,3,3,3,2,2,2,17
112351,323147535,ritsur,0,12,0,0,2,3,2,2,2,11
112352,323148309,ritsur,0,13,0,0,2,3,2,2,3,12
112353,323770564,ritsur,0,14,1,0,0,2,2,1,1,7
112354,323840434,ritsur,0,15,0,0,0,0,2,2,0,4
112355,324152441,ritsur,0,16,2,1,2,2,2,2,3,14
112356,324155033,ritsur,0,17,2,1,1,0,2,2,3,11
112357,324394483,ritsur,0,18,1,0,0,2,3,0,2,8
112358,324480896,ritsur,0,19,0,0,0,0,2,2,0,4
112359,324489036,ritsur,0,20,1,1,0,0,2,1,2,7
