,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
113120,280434762,ryanmcanada,0,1,1,1,0,0,2,1,1,6
113121,280453475,ryanmcanada,0,2,0,0,0,0,2,1,1,4
113122,280468771,ryanmcanada,0,3,0,0,0,0,0,0,0,0
113123,280677935,ryanmcanada,0,4,1,2,0,0,2,2,1,8
113124,280691123,ryanmcanada,0,5,0,0,0,0,0,0,0,0
113125,280794184,ryanmcanada,0,6,1,1,0,0,1,1,0,4
113126,280799430,ryanmcanada,0,7,1,1,1,0,2,2,2,9
113127,280801609,ryanmcanada,0,8,1,1,0,1,1,1,1,6
113128,280802859,ryanmcanada,0,9,1,1,0,3,1,1,1,8
113129,280805212,ryanmcanada,0,10,0,0,0,1,1,3,1,6
113130,280806870,ryanmcanada,0,11,1,1,0,1,2,2,2,9
113131,280873938,ryanmcanada,0,12,1,2,0,0,2,2,1,8
113132,280912516,ryanmcanada,0,13,0,0,0,1,1,2,0,4
113133,280913172,ryanmcanada,0,14,0,0,0,1,2,2,0,5
113134,280913643,ryanmcanada,0,15,1,0,0,0,1,2,1,5
113135,280918726,ryanmcanada,0,16,0,0,0,0,0,0,0,0
113136,281003884,ryanmcanada,0,17,0,0,0,1,1,1,1,4
113137,281175613,ryanmcanada,0,18,0,0,0,0,2,1,1,4
113138,281176412,ryanmcanada,0,19,1,1,0,1,1,1,0,5
113139,281319943,ryanmcanada,0,20,0,0,0,0,2,1,0,3
