,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
113140,277985854,rydermeade,0,1,1,2,0,1,3,2,1,10
113141,279788172,rydermeade,0,2,1,1,0,1,1,1,1,6
113142,281462252,rydermeade,0,3,2,0,0,0,2,1,1,6
113143,288542010,rydermeade,0,4,1,1,0,1,2,2,1,8
113144,304000371,rydermeade,0,5,1,1,0,1,2,1,1,7
113145,304703090,rydermeade,0,6,1,3,3,3,3,2,1,16
113146,307596718,rydermeade,1,7,1,2,0,2,2,2,1,10
113147,308654005,rydermeade,0,8,1,3,0,3,2,1,1,11
113148,310232142,rydermeade,1,9,1,3,1,3,2,2,2,14
113149,312038830,rydermeade,1,10,1,3,1,3,2,2,2,14
113150,312753228,rydermeade,0,11,1,0,2,2,1,2,0,8
113151,313797257,rydermeade,1,12,2,1,0,1,2,2,1,9
113152,313801651,rydermeade,0,13,1,3,0,2,2,3,1,12
113153,314369329,rydermeade,0,14,1,1,1,2,2,1,1,9
113154,314376715,rydermeade,0,15,1,1,0,1,2,1,1,7
113155,314406576,rydermeade,1,16,2,1,0,3,3,1,1,11
113156,314495581,rydermeade,1,17,1,3,1,3,2,2,2,14
113157,314503541,rydermeade,1,18,1,3,0,2,2,2,1,11
113158,314514535,rydermeade,0,19,1,3,0,3,3,1,1,12
113159,326938020,rydermeade,0,20,1,1,0,2,2,1,1,8
