,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
113540,277833522,s185d2110,0,1,0,0,0,0,1,1,1,3
113541,277835478,s185d2110,0,2,1,1,0,1,1,1,1,6
113542,277837999,s185d2110,0,3,1,1,0,0,1,1,0,4
113543,277838755,s185d2110,0,4,1,1,0,0,1,1,1,5
113544,279409351,s185d2110,0,5,1,1,0,0,2,1,1,6
113545,279624791,s185d2110,0,6,1,2,0,0,1,2,0,6
113546,279625143,s185d2110,0,7,1,2,0,0,1,2,0,6
113547,279627449,s185d2110,0,8,1,2,0,0,1,2,1,7
113548,281148932,s185d2110,0,9,1,2,0,2,1,2,1,9
113549,289457322,s185d2110,0,10,1,1,0,0,1,2,2,7
113550,292971055,s185d2110,0,11,1,2,0,2,1,2,2,10
113551,295226859,s185d2110,0,12,1,2,0,0,1,2,2,8
113552,295586969,s185d2110,0,13,1,0,0,2,1,2,0,6
113553,296980876,s185d2110,0,14,1,3,0,2,1,2,2,11
113554,297190153,s185d2110,0,15,0,0,1,0,1,2,2,6
113555,297191622,s185d2110,0,16,1,0,1,2,1,2,1,8
113556,297194728,s185d2110,0,17,1,0,1,2,1,2,1,8
113557,297197082,s185d2110,0,18,0,0,2,0,1,2,2,7
113558,297198255,s185d2110,0,19,1,0,1,2,1,2,2,9
113559,298868056,s185d2110,0,20,1,1,2,2,1,2,2,11
