,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
113820,289707599,s563036,0,1,1,2,0,0,2,2,1,8
113821,291167045,s563036,0,2,1,3,0,3,1,2,1,11
113822,293404072,s563036,0,3,1,1,0,0,1,1,0,4
113823,294089069,s563036,0,4,1,2,0,1,2,2,1,9
113824,297798126,s563036,0,5,2,1,0,1,1,1,1,7
113825,299014546,s563036,0,6,1,2,1,2,2,2,2,12
113826,300206698,s563036,0,7,0,0,0,0,1,0,1,2
113827,300208494,s563036,0,8,1,0,0,0,1,2,1,5
113828,300209268,s563036,0,9,0,0,0,0,1,1,0,2
113829,300209740,s563036,0,10,1,2,0,0,1,2,1,7
113830,300213097,s563036,0,11,1,0,0,0,1,2,0,4
113831,300213942,s563036,0,12,0,0,0,0,1,1,1,3
113832,300214787,s563036,0,13,3,2,0,0,1,2,1,9
113833,300215907,s563036,0,14,1,2,0,2,2,2,1,10
113834,300217015,s563036,0,15,1,1,0,3,2,2,1,10
113835,301058636,s563036,1,16,2,1,0,1,2,1,0,7
113836,302787770,s563036,1,17,1,1,0,3,1,2,3,11
113837,302788803,s563036,1,18,1,1,0,3,2,2,2,11
113838,302790001,s563036,1,19,0,0,1,0,3,2,2,8
113839,302791129,s563036,1,20,1,1,1,1,2,2,2,10
