,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
114680,282027305,sansthecomic808,1,1,1,3,3,3,3,2,2,17
114681,282105452,sansthecomic808,1,2,0,0,0,0,0,0,0,0
114682,283350299,sansthecomic808,1,3,3,1,0,1,2,1,1,9
114683,283384745,sansthecomic808,1,4,1,1,0,2,2,1,1,8
114684,287515733,sansthecomic808,1,5,0,0,0,0,2,1,0,3
114685,287667655,sansthecomic808,1,6,1,1,0,2,2,2,1,9
114686,288303735,sansthecomic808,1,7,1,3,0,2,2,1,1,10
114687,289393366,sansthecomic808,1,8,3,3,3,2,3,1,2,17
114688,289627645,sansthecomic808,0,9,1,3,0,3,3,2,1,13
114689,289743057,sansthecomic808,1,10,3,3,3,3,3,2,3,20
114690,290365195,sansthecomic808,1,11,3,3,3,3,3,2,3,20
114691,290683870,sansthecomic808,0,12,1,1,0,1,2,1,1,7
114692,290687453,sansthecomic808,1,13,1,1,0,1,2,1,1,7
114693,290877149,sansthecomic808,1,14,0,0,0,0,2,1,0,3
114694,291437648,sansthecomic808,0,15,1,1,0,2,1,1,1,7
114695,292244095,sansthecomic808,1,16,1,3,0,2,2,1,1,10
114696,292250933,sansthecomic808,0,17,1,1,0,1,1,1,1,6
114697,293662127,sansthecomic808,0,18,1,0,0,0,1,2,1,5
114698,296786752,sansthecomic808,0,19,3,1,3,2,3,1,2,15
114699,298076607,sansthecomic808,0,20,1,3,0,2,2,1,1,10
