,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
115240,287501285,scratch-robonautas,1,1,3,3,3,3,3,2,2,19
115241,287502085,scratch-robonautas,1,2,3,3,3,3,3,2,2,19
115242,287502247,scratch-robonautas,1,3,3,3,3,3,3,2,2,19
115243,287502475,scratch-robonautas,1,4,3,3,3,3,3,2,2,19
115244,287503042,scratch-robonautas,1,5,3,3,3,3,3,2,2,19
115245,287686875,scratch-robonautas,1,6,1,3,2,3,1,2,2,14
115246,287688748,scratch-robonautas,1,7,1,3,2,3,1,2,2,14
115247,287692592,scratch-robonautas,0,8,1,3,2,3,1,2,2,14
115248,287692776,scratch-robonautas,0,9,1,3,2,3,1,2,2,14
115249,287692977,scratch-robonautas,0,10,1,3,2,3,1,2,2,14
115250,287694726,scratch-robonautas,1,11,1,3,1,2,2,2,2,13
115251,287696428,scratch-robonautas,0,12,1,3,1,2,2,2,2,13
115252,287696827,scratch-robonautas,0,13,1,3,1,2,2,2,2,13
115253,287696989,scratch-robonautas,0,14,1,3,1,2,2,2,2,13
115254,287697378,scratch-robonautas,0,15,1,3,1,2,2,2,2,13
115255,287697636,scratch-robonautas,0,16,1,3,1,2,2,2,2,13
115256,291973907,scratch-robonautas,1,17,3,3,3,2,3,2,3,19
115257,291977663,scratch-robonautas,1,18,3,3,3,2,3,2,3,19
115258,291977862,scratch-robonautas,1,19,3,3,3,2,3,2,3,19
115259,291983029,scratch-robonautas,1,20,3,3,3,2,3,2,3,19
