,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
115740,297737380,sg-ta18-19,0,1,1,1,0,0,1,1,1,5
115741,297737616,sg-ta18-19,0,2,1,1,1,1,2,2,2,10
115742,297738124,sg-ta18-19,0,3,1,2,0,1,2,2,1,9
115743,297739183,sg-ta18-19,0,4,1,1,1,0,2,2,1,8
115744,298961275,sg-ta18-19,1,5,1,0,0,0,1,2,1,5
115745,298965459,sg-ta18-19,1,6,1,2,0,1,2,2,1,9
115746,298966955,sg-ta18-19,1,7,1,1,0,3,3,1,1,10
115747,299298233,sg-ta18-19,0,8,1,1,0,1,2,1,1,7
115748,300150864,sg-ta18-19,0,9,1,1,0,1,2,1,1,7
115749,300999143,sg-ta18-19,0,10,1,1,0,1,2,1,1,7
115750,301640264,sg-ta18-19,1,11,2,1,0,1,1,1,0,6
115751,301643130,sg-ta18-19,1,12,2,0,0,0,2,2,2,8
115752,301645424,sg-ta18-19,1,13,1,1,0,2,1,1,1,7
115753,302279881,sg-ta18-19,0,14,1,1,0,0,2,1,0,5
115754,302735844,sg-ta18-19,1,15,1,1,0,1,2,1,1,7
115755,302984083,sg-ta18-19,1,16,1,1,0,3,2,1,1,9
115756,304470660,sg-ta18-19,0,17,1,2,0,0,1,2,1,7
115757,304472030,sg-ta18-19,0,18,0,0,0,1,2,1,1,5
115758,304474248,sg-ta18-19,0,19,1,1,0,1,2,1,1,7
115759,304729613,sg-ta18-19,0,20,1,1,1,0,2,1,0,6
