,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
116140,279830911,siemlove2,0,1,1,1,0,1,2,1,1,7
116141,281722329,siemlove2,1,2,1,1,0,0,2,1,1,6
116142,281729432,siemlove2,0,3,1,1,0,0,2,1,1,6
116143,282265307,siemlove2,0,4,1,1,0,1,2,1,1,7
116144,283606165,siemlove2,0,5,0,0,0,1,2,1,1,5
116145,284305439,siemlove2,0,6,0,0,0,0,0,0,0,0
116146,284305904,siemlove2,0,7,0,0,0,0,0,0,0,0
116147,284309558,siemlove2,0,8,1,1,0,1,2,1,1,7
116148,287950391,siemlove2,1,9,1,0,0,1,2,2,1,7
116149,287952574,siemlove2,1,10,1,1,1,3,3,1,1,11
116150,287954023,siemlove2,1,11,1,1,1,3,3,1,1,11
116151,287955551,siemlove2,1,12,0,0,0,0,2,1,1,4
116152,287957884,siemlove2,1,13,0,0,0,0,2,1,1,4
116153,287958671,siemlove2,1,14,0,0,0,0,2,1,1,4
116154,287960406,siemlove2,1,15,0,0,0,1,3,1,1,6
116155,287962437,siemlove2,1,16,1,0,0,0,1,2,1,5
116156,290013821,siemlove2,0,17,0,0,0,0,0,0,0,0
116157,290013973,siemlove2,0,18,1,1,0,1,2,1,1,7
116158,295234496,siemlove2,0,19,2,1,0,1,1,2,1,8
116159,299795702,siemlove2,0,20,1,1,0,1,2,1,1,7
