,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
116640,277809275,sls18191a07,0,1,0,0,0,1,2,1,1,5
116641,277918637,sls18191a07,0,2,0,0,0,1,2,1,1,5
116642,281052170,sls18191a07,0,3,0,0,1,2,2,1,1,7
116643,281516284,sls18191a07,0,4,1,0,1,0,2,2,1,7
116644,281516291,sls18191a07,0,5,1,1,0,2,3,2,1,10
116645,281516541,sls18191a07,0,6,1,1,1,2,2,1,1,9
116646,281517786,sls18191a07,0,7,1,1,1,0,2,2,1,8
116647,289443124,sls18191a07,0,8,1,0,0,0,2,1,1,5
116648,292271625,sls18191a07,0,9,1,2,3,1,3,2,1,13
116649,295391277,sls18191a07,0,10,1,1,1,0,2,2,2,9
116650,295394540,sls18191a07,0,11,1,1,2,0,2,2,2,10
116651,298772350,sls18191a07,0,12,1,1,1,0,3,2,2,10
116652,298774172,sls18191a07,0,13,1,1,3,0,3,2,2,12
116653,307316532,sls18191a07,0,14,3,1,1,2,2,2,2,13
116654,307320167,sls18191a07,0,15,3,1,1,0,3,2,2,12
116655,311418554,sls18191a07,0,16,3,1,1,2,3,2,2,14
116656,311421083,sls18191a07,0,17,3,1,1,2,3,2,2,14
116657,313949079,sls18191a07,0,18,2,3,3,2,3,2,2,17
116658,314614762,sls18191a07,0,19,3,1,1,1,3,2,2,13
116659,322339873,sls18191a07,0,20,1,1,3,2,3,2,2,14
