,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
117140,325440269,sonic200819,0,1,0,0,0,1,2,1,1,5
117141,325443334,sonic200819,0,2,1,1,0,1,2,1,1,7
117142,325443486,sonic200819,0,3,0,0,0,1,2,1,1,5
117143,325443969,sonic200819,0,4,0,0,0,1,2,1,1,5
117144,325628189,sonic200819,0,5,0,0,0,1,2,1,1,5
117145,325659905,sonic200819,0,6,1,1,0,1,2,1,1,7
117146,325660093,sonic200819,0,7,0,0,0,1,2,1,1,5
117147,325660404,sonic200819,0,8,0,0,0,1,2,1,1,5
117148,325660671,sonic200819,0,9,0,0,0,1,2,1,1,5
117149,325661764,sonic200819,0,10,1,1,0,1,2,1,1,7
117150,325662081,sonic200819,0,11,0,0,0,1,2,1,1,5
117151,325800373,sonic200819,0,12,0,0,0,1,2,1,1,5
117152,325834815,sonic200819,0,13,0,0,0,1,2,1,1,5
117153,325835133,sonic200819,0,14,0,0,0,1,2,1,1,5
117154,325835403,sonic200819,0,15,0,0,0,1,2,1,1,5
117155,325836177,sonic200819,0,16,0,0,0,1,2,1,1,5
117156,325836842,sonic200819,0,17,0,0,0,1,2,1,1,5
117157,325844822,sonic200819,0,18,0,0,0,1,2,1,1,5
117158,325846300,sonic200819,0,19,1,0,0,1,2,2,1,7
117159,325849816,sonic200819,0,20,0,0,0,1,2,1,1,5
