,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
117700,283891950,sponge2008bob,0,1,1,0,0,1,2,2,2,8
117701,283979764,sponge2008bob,0,2,1,1,0,1,2,1,1,7
117702,283981174,sponge2008bob,0,3,1,1,0,1,1,2,1,7
117703,283988073,sponge2008bob,0,4,1,2,0,0,1,2,0,6
117704,283988914,sponge2008bob,1,5,1,1,0,3,2,2,2,11
117705,284089457,sponge2008bob,0,6,1,1,0,1,1,1,0,5
117706,286963881,sponge2008bob,1,7,3,3,3,2,2,2,2,17
117707,286965360,sponge2008bob,1,8,3,3,2,2,3,1,2,16
117708,286966564,sponge2008bob,1,9,3,3,3,3,3,2,2,19
117709,286967519,sponge2008bob,1,10,3,3,3,3,3,2,3,20
117710,286968002,sponge2008bob,1,11,1,2,0,1,2,2,2,10
117711,286980899,sponge2008bob,1,12,1,0,0,0,2,2,1,6
117712,286982154,sponge2008bob,1,13,1,3,3,3,3,2,2,17
117713,287174220,sponge2008bob,1,14,1,3,3,2,2,2,2,15
117714,287175906,sponge2008bob,1,15,3,3,3,3,3,2,2,19
117715,287204773,sponge2008bob,1,16,3,3,3,3,3,2,2,19
117716,287207272,sponge2008bob,1,17,3,3,3,3,3,2,3,20
117717,287221608,sponge2008bob,1,18,3,3,3,3,3,2,2,19
117718,287222274,sponge2008bob,1,19,1,3,1,2,2,2,2,13
117719,287222489,sponge2008bob,1,20,0,0,0,0,2,1,0,3
