,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
118720,285367234,super-novaa,1,1,1,1,1,3,2,2,1,11
118721,287086732,super-novaa,0,2,1,1,0,3,2,2,1,10
118722,290190708,super-novaa,1,3,2,3,3,3,2,2,2,17
118723,290219686,super-novaa,1,4,3,3,3,3,3,2,3,20
118724,290465472,super-novaa,0,5,1,1,0,0,2,1,1,6
118725,290784899,super-novaa,1,6,1,1,3,2,2,2,2,13
118726,291468676,super-novaa,0,7,1,1,0,2,2,2,1,9
118727,292135188,super-novaa,1,8,1,2,1,1,2,2,1,10
118728,292324806,super-novaa,0,9,1,1,1,0,2,2,1,8
118729,292594533,super-novaa,0,10,1,1,1,0,2,2,1,8
118730,292756657,super-novaa,0,11,1,1,1,0,2,2,2,9
118731,293084777,super-novaa,0,12,1,1,1,1,2,2,1,9
118732,295283866,super-novaa,1,13,1,3,3,3,2,2,2,16
118733,296348375,super-novaa,1,14,1,1,1,1,2,2,2,10
118734,298598606,super-novaa,0,15,1,1,0,1,2,1,1,7
118735,298906584,super-novaa,0,16,1,1,0,1,2,1,1,7
118736,298908683,super-novaa,0,17,1,1,0,1,2,1,1,7
118737,298909757,super-novaa,0,18,1,1,0,1,2,1,1,7
118738,300165427,super-novaa,0,19,1,1,1,0,2,2,1,8
118739,301588690,super-novaa,0,20,1,1,1,0,2,2,1,8
