,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
120740,285308698,tiger6167,0,1,1,0,0,0,1,2,1,5
120741,285311190,tiger6167,0,2,1,0,1,0,2,1,2,7
120742,286124184,tiger6167,0,3,0,0,0,0,2,1,1,4
120743,286124610,tiger6167,0,4,0,0,0,0,2,1,1,4
120744,286125776,tiger6167,0,5,0,0,0,0,1,2,0,3
120745,286126544,tiger6167,0,6,1,0,0,0,1,2,1,5
120746,287041282,tiger6167,0,7,0,0,0,1,2,1,1,5
120747,287042216,tiger6167,0,8,0,0,0,0,1,1,1,3
120748,287043166,tiger6167,0,9,0,0,0,1,2,1,1,5
120749,287044403,tiger6167,0,10,0,0,0,0,2,2,1,5
120750,287045320,tiger6167,0,11,0,0,0,1,1,2,1,5
120751,287046876,tiger6167,0,12,0,0,0,0,2,1,1,4
120752,288590347,tiger6167,0,13,1,2,0,1,2,2,1,9
120753,291230501,tiger6167,0,14,1,2,0,2,2,2,1,10
120754,295032997,tiger6167,1,15,1,1,0,1,2,1,1,7
120755,297157338,tiger6167,1,16,0,0,0,1,3,1,1,6
120756,297158678,tiger6167,1,17,0,0,0,0,2,2,1,5
120757,297160165,tiger6167,1,18,0,0,0,1,2,2,1,6
120758,298199649,tiger6167,1,19,0,0,0,0,2,1,0,3
120759,298200006,tiger6167,1,20,1,0,0,1,2,2,1,7
