,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
121120,294991974,tolinb73,0,1,1,0,0,0,1,2,1,5
121121,295355988,tolinb73,0,2,1,2,0,0,1,2,1,7
121122,295699234,tolinb73,0,3,1,0,0,0,1,2,1,5
121123,295703199,tolinb73,0,4,1,2,0,0,1,2,1,7
121124,296197739,tolinb73,0,5,1,2,0,0,1,2,1,7
121125,297099282,tolinb73,0,6,1,0,0,0,1,2,1,5
121126,298633382,tolinb73,1,7,1,1,3,1,3,2,2,13
121127,314965534,tolinb73,0,8,1,3,0,0,2,2,1,9
121128,319049725,tolinb73,0,9,1,2,0,0,1,2,1,7
121129,320827031,tolinb73,1,10,2,3,3,3,3,2,2,18
121130,320834635,tolinb73,1,11,2,3,3,2,2,2,2,16
121131,320837575,tolinb73,1,12,3,3,3,3,3,2,3,20
121132,321024817,tolinb73,1,13,1,3,3,2,2,2,2,15
121133,321172452,tolinb73,0,14,1,1,0,1,1,1,1,6
121134,321179797,tolinb73,0,15,1,1,0,1,1,1,1,6
121135,322950950,tolinb73,0,16,1,0,0,0,1,2,1,5
121136,323020197,tolinb73,0,17,1,0,0,0,1,2,1,5
121137,324582992,tolinb73,0,18,1,0,0,0,1,2,1,5
121138,324860792,tolinb73,0,19,0,0,0,0,1,1,1,3
121139,325440521,tolinb73,0,20,0,0,0,0,1,1,1,3
