,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
121260,282231215,toucha20,0,1,0,0,0,0,1,1,1,3
121261,283804232,toucha20,0,2,1,1,0,1,2,2,1,8
121262,285152096,toucha20,0,3,1,2,0,1,2,2,1,9
121263,286579542,toucha20,0,4,0,0,0,1,2,2,1,6
121264,287187722,toucha20,0,5,1,3,0,2,2,2,2,12
121265,288737833,toucha20,0,6,1,1,1,3,2,1,2,11
121266,291066413,toucha20,0,7,1,3,0,1,1,3,1,10
121267,298031767,toucha20,0,8,0,0,0,1,3,1,2,7
121268,298916359,toucha20,1,9,1,1,0,3,2,2,2,11
121269,300426506,toucha20,0,10,0,0,2,0,2,2,2,8
121270,301929014,toucha20,1,11,1,1,0,1,2,1,1,7
121271,301930428,toucha20,1,12,1,0,0,3,3,1,1,9
121272,301933234,toucha20,0,13,1,1,0,1,2,1,1,7
121273,301933585,toucha20,0,14,0,0,0,0,2,2,1,5
121274,301934293,toucha20,0,15,1,0,0,3,3,1,1,9
121275,301935271,toucha20,0,16,0,0,0,0,2,2,1,5
121276,301936614,toucha20,0,17,0,0,0,0,2,1,0,3
121277,304965173,toucha20,0,18,1,1,0,2,3,1,1,9
121278,309339148,toucha20,0,19,1,1,0,2,3,1,1,9
121279,311241631,toucha20,0,20,1,1,0,1,2,1,1,7
