,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
122160,280397143,unicorno09,0,1,1,1,0,0,2,1,1,6
122161,280406894,unicorno09,0,2,0,0,0,0,2,2,1,5
122162,280428119,unicorno09,0,3,1,1,0,1,2,1,1,7
122163,280741146,unicorno09,0,4,1,1,0,0,2,1,1,6
122164,283308417,unicorno09,0,5,1,1,0,2,2,1,1,8
122165,285515528,unicorno09,0,6,0,0,0,0,2,2,1,5
122166,285697973,unicorno09,0,7,1,1,0,0,2,1,1,6
122167,285700292,unicorno09,0,8,1,1,0,0,2,1,1,6
122168,286333539,unicorno09,0,9,1,1,0,1,2,1,1,7
122169,290172364,unicorno09,1,10,3,1,2,1,2,1,2,12
122170,290180908,unicorno09,1,11,3,3,3,2,2,2,2,17
122171,291983552,unicorno09,1,12,3,3,3,2,2,2,2,17
122172,291988482,unicorno09,1,13,1,1,0,1,2,2,1,8
122173,291993869,unicorno09,0,14,1,1,0,0,2,1,1,6
122174,293914187,unicorno09,1,15,3,3,3,2,2,2,2,17
122175,293916218,unicorno09,0,16,1,2,0,0,2,2,1,8
122176,293923087,unicorno09,0,17,1,1,0,0,2,2,1,7
122177,295628138,unicorno09,0,18,0,0,0,0,2,1,1,4
122178,295629382,unicorno09,0,19,1,1,0,0,2,1,1,6
122179,295930563,unicorno09,1,20,3,1,2,1,2,2,2,13
