,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
122320,282349417,usernamekitty,0,1,0,0,0,0,2,1,1,4
122321,283133282,usernamekitty,0,2,1,0,0,0,2,2,1,6
122322,283385191,usernamekitty,0,3,1,0,1,2,3,2,1,10
122323,283925451,usernamekitty,0,4,1,1,1,2,3,2,1,11
122324,284029914,usernamekitty,0,5,1,1,2,3,2,2,1,12
122325,284696372,usernamekitty,0,6,1,1,1,0,3,2,2,10
122326,286092897,usernamekitty,0,7,1,2,1,3,3,2,2,14
122327,286731968,usernamekitty,0,8,1,1,0,0,3,2,1,8
122328,293437121,usernamekitty,0,9,0,0,0,0,2,1,1,4
122329,293439856,usernamekitty,0,10,0,0,1,0,3,1,1,6
122330,294428312,usernamekitty,0,11,1,1,0,0,3,1,1,7
122331,294433479,usernamekitty,0,12,1,1,1,0,3,2,1,9
122332,295686633,usernamekitty,0,13,3,1,0,3,3,2,1,13
122333,295698793,usernamekitty,0,14,1,1,1,3,3,2,1,12
122334,296636410,usernamekitty,0,15,3,1,0,3,3,1,2,13
122335,297476956,usernamekitty,0,16,0,0,0,0,2,1,1,4
122336,297828066,usernamekitty,0,17,0,0,0,0,2,1,1,4
122337,297830586,usernamekitty,0,18,0,0,0,0,3,1,1,5
122338,299396493,usernamekitty,0,19,1,1,0,3,2,2,1,10
122339,301761931,usernamekitty,0,20,1,1,0,3,2,2,1,10
