,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
122620,328855973,vgrandasm2019,0,1,1,2,0,0,1,2,1,7
122621,328857864,vgrandasm2019,0,2,1,2,0,0,2,2,1,8
122622,331282575,vgrandasm2019,0,3,0,0,0,0,1,2,1,4
122623,331284197,vgrandasm2019,0,4,0,0,0,0,2,2,1,5
122624,331285322,vgrandasm2019,0,5,0,0,0,0,1,2,0,3
122625,331289963,vgrandasm2019,0,6,0,0,0,0,1,2,1,4
122626,331291122,vgrandasm2019,0,7,0,0,0,0,2,2,1,5
122627,331291932,vgrandasm2019,0,8,0,0,0,0,1,2,1,4
122628,337537154,vgrandasm2019,0,9,0,0,0,0,0,0,0,0
122629,337545943,vgrandasm2019,0,10,1,0,0,1,2,1,1,6
122630,340005311,vgrandasm2019,0,11,0,0,0,0,1,2,1,4
122631,340007429,vgrandasm2019,0,12,0,0,0,0,1,2,1,4
122632,340010749,vgrandasm2019,0,13,0,0,0,1,1,2,1,5
122633,340059342,vgrandasm2019,0,14,0,0,0,1,1,2,1,5
122634,340061427,vgrandasm2019,0,15,1,0,0,0,1,1,1,4
122635,340063240,vgrandasm2019,0,16,0,0,0,1,2,1,1,5
122636,340067029,vgrandasm2019,0,17,1,1,0,1,2,1,1,7
122637,340068018,vgrandasm2019,0,18,1,1,0,1,1,1,1,6
122638,340069269,vgrandasm2019,0,19,0,0,0,1,1,2,1,5
122639,340071707,vgrandasm2019,0,20,0,0,0,0,1,2,0,3
