,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
123560,280134185,weinbergs01,0,1,1,0,0,0,2,1,1,5
123561,280445088,weinbergs01,0,2,1,2,0,0,2,2,1,8
123562,280757314,weinbergs01,1,3,1,1,0,3,2,2,2,11
123563,284341219,weinbergs01,0,4,1,2,0,1,2,2,1,9
123564,284343452,weinbergs01,0,5,1,2,0,1,2,2,1,9
123565,284927995,weinbergs01,0,6,1,1,0,1,2,2,2,9
123566,284930310,weinbergs01,0,7,1,1,1,0,2,2,2,9
123567,286034348,weinbergs01,0,8,1,1,0,1,2,2,1,8
123568,286036197,weinbergs01,0,9,1,1,0,3,1,1,1,8
123569,286038121,weinbergs01,0,10,1,3,0,1,1,3,1,10
123570,286039896,weinbergs01,0,11,0,0,0,0,0,0,0,0
123571,286040419,weinbergs01,0,12,0,0,0,0,1,1,1,3
123572,286041552,weinbergs01,0,13,0,0,0,0,1,1,1,3
123573,287936303,weinbergs01,0,14,1,0,0,0,2,0,1,4
123574,287937065,weinbergs01,0,15,0,0,0,0,1,1,0,2
123575,287937786,weinbergs01,0,16,1,0,0,0,2,0,1,4
123576,287938490,weinbergs01,0,17,0,0,0,1,1,1,1,4
123577,287939213,weinbergs01,0,18,1,0,0,1,2,0,1,5
123578,287940056,weinbergs01,0,19,1,0,0,0,1,2,1,5
123579,287940906,weinbergs01,0,20,1,0,0,0,2,0,1,4
