,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
124280,297632011,wolfyyy-_-,1,1,0,0,0,0,0,0,0,0
124281,297851370,wolfyyy-_-,0,2,0,0,0,0,0,0,0,0
124282,298484792,wolfyyy-_-,1,3,0,0,0,1,2,1,1,5
124283,298620429,wolfyyy-_-,0,4,0,0,0,0,0,0,0,0
124284,298756967,wolfyyy-_-,1,5,1,1,0,1,2,1,1,7
124285,299370531,wolfyyy-_-,0,6,0,0,0,0,0,0,0,0
124286,300086085,wolfyyy-_-,1,7,0,0,0,0,0,1,0,1
124287,304042184,wolfyyy-_-,0,8,0,0,0,1,2,1,1,5
124288,309333260,wolfyyy-_-,0,9,0,0,0,1,2,1,1,5
124289,309669195,wolfyyy-_-,0,10,0,0,0,0,0,0,0,0
124290,310002685,wolfyyy-_-,0,11,1,0,0,1,2,1,1,6
124291,310834264,wolfyyy-_-,0,12,0,0,0,0,0,0,0,0
124292,311288128,wolfyyy-_-,0,13,0,0,0,0,0,0,0,0
124293,311739001,wolfyyy-_-,0,14,0,0,0,0,0,0,0,0
124294,312408163,wolfyyy-_-,0,15,0,0,0,1,1,1,0,3
124295,312995442,wolfyyy-_-,0,16,0,0,0,0,0,0,0,0
124296,313004069,wolfyyy-_-,1,17,0,0,0,0,0,0,0,0
124297,313121422,wolfyyy-_-,0,18,0,0,0,0,0,0,0,0
124298,314512892,wolfyyy-_-,0,19,0,0,0,0,0,0,0,0
124299,316217488,wolfyyy-_-,0,20,0,0,0,0,0,0,0,0
