,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
125060,293846316,yee4034,0,1,1,0,1,0,2,2,1,7
125061,293848414,yee4034,0,2,1,0,1,0,2,2,1,7
125062,295750257,yee4034,0,3,1,1,1,0,2,1,2,8
125063,295752008,yee4034,0,4,1,1,2,2,2,2,2,12
125064,297888535,yee4034,0,5,1,0,0,0,1,2,2,6
125065,297889643,yee4034,0,6,1,0,0,0,1,2,2,6
125066,297894904,yee4034,0,7,1,0,0,0,1,2,2,6
125067,299968978,yee4034,0,8,1,2,0,0,2,2,2,9
125068,301802798,yee4034,0,9,1,0,1,0,2,2,2,8
125069,301810738,yee4034,0,10,1,0,1,0,2,2,2,8
125070,306167217,yee4034,0,11,0,0,0,0,1,2,2,5
125071,306169363,yee4034,0,12,1,0,0,0,2,2,2,7
125072,308183352,yee4034,0,13,2,1,0,1,2,2,1,9
125073,308188481,yee4034,0,14,2,2,0,1,2,2,1,10
125074,308193587,yee4034,0,15,2,2,0,1,2,2,1,10
125075,308201284,yee4034,0,16,2,0,0,1,2,2,1,8
125076,310057425,yee4034,0,17,2,0,0,1,2,2,2,9
125077,310062672,yee4034,0,18,0,0,0,0,2,1,2,5
125078,312130163,yee4034,0,19,2,0,0,0,2,1,1,6
125079,313959324,yee4034,0,20,1,0,1,2,1,2,3,10
