,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
125560,293161689,ytfan3203,0,1,1,0,0,0,1,2,1,5
125561,293166468,ytfan3203,0,2,1,2,0,1,1,2,1,8
125562,293174082,ytfan3203,0,3,1,0,0,0,1,2,1,5
125563,293175409,ytfan3203,0,4,1,0,0,0,1,2,1,5
125564,295057854,ytfan3203,0,5,0,0,0,0,1,2,1,4
125565,295059702,ytfan3203,0,6,0,0,0,0,1,0,0,1
125566,295060940,ytfan3203,0,7,1,2,0,0,2,2,0,7
125567,295069057,ytfan3203,0,8,0,0,0,1,2,2,1,6
125568,295070774,ytfan3203,0,9,0,0,0,1,2,2,1,6
125569,295072680,ytfan3203,0,10,0,0,0,1,1,2,1,5
125570,295074073,ytfan3203,0,11,0,0,0,1,2,2,1,6
125571,297186122,ytfan3203,0,12,1,0,0,1,1,2,1,6
125572,297187735,ytfan3203,0,13,0,0,0,0,2,2,0,4
125573,297188698,ytfan3203,0,14,1,2,0,0,2,2,0,7
125574,297190319,ytfan3203,0,15,0,0,0,0,2,2,0,4
125575,297196784,ytfan3203,0,16,0,0,0,0,1,2,0,3
125576,297198466,ytfan3203,0,17,1,2,0,0,2,2,0,7
125577,297200552,ytfan3203,0,18,0,0,0,0,2,2,0,4
125578,297201612,ytfan3203,0,19,0,0,0,0,2,2,0,4
125579,299121475,ytfan3203,0,20,1,0,0,0,1,2,1,5
