,UserName,Class_before,PredClass_before,Class,PredClass
8,Arseniy2019,1,0,1,1
16,Codeninjagirl,1,0,1,1
48,SilverManiaZP,1,0,1,1
57,alvarolr23,1,0,1,1
78,findof,1,0,1,1
104,treyrocks,1,0,1,1
151,Alvaro280504,0,1,0,0
173,Charlie_Kunz,0,1,0,0
366,biggiecheese9696,0,1,0,0
473,kiml1020,0,1,0,0
489,mess9,0,1,0,0
513,pandacrusher,0,1,0,0
585,FastestManAlive03,1,0,1,1
685,06olee,0,1,0,0
816,Ksingh609,0,1,0,0
981,cs3076521,0,1,0,0
1023,iraqste,0,1,0,0
1133,xXBendTrapXx,0,1,0,0
1171,Krainey1,1,0,1,1
1229,maximus_yakubovich,1,0,1,1
1242,suke_and_chichi,1,0,1,1
1245,unicornprincsess10,1,0,1,1
1291,Alan_MJ,0,1,0,0
1411,Not_Mical,0,1,0,0
1478,a613546,0,1,0,0
1567,darrencycheung,0,1,0,0
1602,ju2464,0,1,0,0
1695,tigeraeva,0,1,0,0
1754,Remington8002032,1,0,1,1
1778,cs2394652,1,0,1,1
1783,docterstrange12345,1,0,1,1
1819,06nkoltsov,0,1,0,0
1886,DGrigsby09384,0,1,0,0
1897,Digitalwerkstatt-DUS,0,1,0,0
1941,KajCorantijn,0,1,0,0
2000,ShakiraE1,0,1,0,0
2067,caid1234,0,1,0,0
2185,joel_stlluis,0,1,0,0
2261,therocketokentwo,0,1,0,0
2263,thoalma,0,1,0,0
2264,tlsin1220,0,1,0,0
2315,MiniBeastDev,1,0,1,1
2338,amanda_sharkey,1,0,1,1
2354,goktugdin11,1,0,1,1
2378,sls18191b31,1,0,1,1
2409,2shea19,0,1,0,0
2481,IPressedAButton,0,1,0,0
2494,Jfaraci1,0,1,0,0
2819,soniworld,0,1,0,0
2843,wooshie1,0,1,0,0
2868,Genji187,1,0,1,1
2876,Kartoffel_mands_ven,1,0,1,1
2900,TNTHUNTER18,1,0,1,1
2939,pd5ws8me,1,0,1,1
2941,pentele_pollak,1,0,1,1
2946,rocky618,1,0,1,1
3051,GenesisLema,0,1,0,0
3055,HFGR4EJ,0,1,0,0
3056,Hayden_Miller22,0,1,0,0
3092,Loihi,0,1,0,0
3105,MeeWee24,0,1,0,0
3147,SoonDubu,0,1,0,0
3277,danielmu_stlluis,0,1,0,0
3347,madysonhenderson,0,1,0,0
3418,zcline,0,1,0,0
3442,FastHacker,1,0,1,1
3483,efd_emre48,1,0,1,1
3558,618526,0,1,0,0
3567,AP5903,0,1,0,0
3580,Brady17170,0,1,0,0
3708,Snowicorn,0,1,0,0
3770,campo8,0,1,0,0
3771,catsfaceshi,0,1,0,0
3843,farias0006,0,1,0,0
3921,nicoli020878,0,1,0,0
3973,vickys16,0,1,0,0
3978,wmora101,0,1,0,0
3983,yihujan,0,1,0,0
4048,glitterpup5,1,0,1,1
4063,kociaczek327,1,0,1,1
4110,144_tv,0,1,0,0
4133,3egholmskolen,0,1,0,0
4144,AlvaroVT,0,1,0,0
4157,Breadboi21,0,1,0,0
4164,Chikazor,0,1,0,0
4307,XoXq,0,1,0,0
4333,camhoops,0,1,0,0
4423,frog_hat_head,0,1,0,0
4442,iromman7777,0,1,0,0
4463,lightofgod35,0,1,0,0
4533,utente201,0,1,0,0
4537,virgildmsl2,0,1,0,0
4557,zach-08,0,1,0,0
4593,PuffyChickenLegs,1,0,1,1
4640,mcapron,1,0,1,1
4742,Dc365362,0,1,0,0
4751,Forr24,0,1,0,0
4787,JustinDMSL13,0,1,0,0
4842,Sal_The_Skeleton,0,1,0,0
4871,Vincent603,0,1,0,0
4903,cd20061029,0,1,0,0
4975,fhhwgysi142,0,1,0,0
4977,frodriguez19,0,1,0,0
4999,in2181,0,1,0,0
5095,soninjaabell,0,1,0,0
5130,2lauren19,1,0,1,1
5137,BeMa2018,1,0,1,1
5140,CN_NINJA_AM1,1,0,1,1
5165,ThomasMorales453,1,0,1,1
5194,gaelgarcia2024,1,0,1,1
5218,pedro1610065252,1,0,1,1
5221,qwertyuiop1234567810,1,0,1,1
5224,sallywally8,1,0,1,1
5308,DEEJMARVEL,0,1,0,0
5322,DylanPickle210,0,1,0,0
5327,FBISD787617,0,1,0,0
5339,Harvseu_v2,0,1,0,0
5358,Kacey60,0,1,0,0
5442,VPatel40625,0,1,0,0
5461,anitag2008c,0,1,0,0
5513,cs2377329,0,1,0,0
5567,fieryaxe777,0,1,0,0
5589,invisibleworm1,0,1,0,0
5633,nayramolero19,0,1,0,0
5654,s185e2136,0,1,0,0
